,first_course_eur,last_course_eur
2017-10-23,18.09,18.09
2017-10-24,17.96,17.96
2017-10-25,18.11,18.11
2017-10-26,18.07,18.07
2017-10-27,18.15,18.15
2017-10-28,18.15,18.15
2017-10-29,18.15,18.15
2017-10-30,18.11,18.11
2017-10-31,18.285,18.285
2017-11-01,18.55,18.55
2017-11-02,18.58,18.58
2017-11-03,18.31,18.31
2017-11-04,18.31,18.31
2017-11-05,18.31,18.31
2017-11-06,19.01,19.01
2017-11-07,19.325,19.325
2017-11-08,19.38,19.38
2017-11-09,19.515,19.515
2017-11-10,19.82,19.82
2017-11-11,19.82,19.82
2017-11-12,19.82,19.82
2017-11-13,19.905,19.905
2017-11-14,19.335,19.335
2017-11-15,19.015,19.015
2017-11-16,19.2,19.2
2017-11-17,18.95,18.95
2017-11-18,18.95,18.95
2017-11-19,18.95,18.95
2017-11-20,19.5,19.5
2017-11-21,19.84,19.84
2017-11-22,19.7,19.7
2017-11-23,19.7,19.7
2017-11-24,20.455,20.455
2017-11-25,20.455,20.455
2017-11-26,20.455,20.455
2017-11-27,20.68,20.68
2017-11-28,20.28,20.28
2017-11-29,20.35,20.35
2017-11-30,20.305,20.305
2017-12-01,20.79,20.79
2017-12-02,20.79,20.79
2017-12-03,20.79,20.79
2017-12-04,21.375,21.375
2017-12-05,21.405,21.405
2017-12-06,21.165,21.165
2017-12-07,21.265,21.265
2017-12-08,20.89,20.89
2017-12-09,20.89,20.89
2017-12-10,20.89,20.89
2017-12-11,21.135,21.135
2017-12-12,21.73,21.73
2017-12-13,20.675,20.675
2017-12-14,21.025,21.025
2017-12-15,21.01,21.01
2017-12-16,21.01,21.01
2017-12-17,21.01,21.01
2017-12-18,20.46,20.46
2017-12-19,19.95,19.95
2017-12-20,20.295,20.295
2017-12-21,20.0,20.0
2017-12-22,19.665,19.665
2017-12-23,19.665,19.665
2017-12-24,19.665,19.665
2017-12-25,19.665,19.665
2017-12-26,19.665,19.665
2017-12-27,19.19,19.19
2017-12-28,19.705,19.705
2017-12-29,19.62,19.62
2017-12-30,19.62,19.62
2017-12-31,19.62,19.62
2018-01-01,19.62,19.62
2018-01-02,19.32,19.32
2018-01-03,19.325,19.325
2018-01-04,19.2,19.2
2018-01-05,18.915,18.915
2018-01-06,18.915,18.915
2018-01-07,18.915,18.915
2018-01-08,19.05,19.05
2018-01-09,19.435,19.435
2018-01-10,19.325,19.325
2018-01-11,19.32,19.32
2018-01-12,19.805,19.805
2018-01-13,19.805,19.805
2018-01-14,19.805,19.805
2018-01-15,19.805,19.805
2018-01-16,18.9,18.9
2018-01-17,18.44,18.44
2018-01-18,18.35,18.35
2018-01-19,18.19,18.19
2018-01-20,18.19,18.19
2018-01-21,18.19,18.19
2018-01-22,18.545,18.545
2018-01-23,18.2,18.2
2018-01-24,17.79,17.79
2018-01-25,17.78,17.78
2018-01-26,17.78,17.78
2018-01-27,17.78,17.78
2018-01-28,17.78,17.78
2018-01-29,17.395,17.395
2018-01-30,17.41,17.41
2018-01-31,17.88,17.88
2018-02-01,18.15,18.15
2018-02-02,18.16,18.16
2018-02-03,18.16,18.16
2018-02-04,18.16,18.16
2018-02-05,17.59,17.59
2018-02-06,17.88,17.88
2018-02-07,18.155,18.155
2018-02-08,17.74,17.74
2018-02-09,17.9,17.9
2018-02-10,17.9,17.9
