,first_course_eur,last_course_eur
2015-01-02,57.4571,57.1948
2015-01-03,57.4571,57.1948
2015-01-04,57.4571,57.1948
2015-01-05,55.2401,53.137
2015-01-06,52.6708,51.2144
2015-01-07,50.3863,50.9127
2015-01-08,51.2558,51.1711
2015-01-09,51.424,49.905
2015-01-10,51.424,49.905
2015-01-11,51.424,49.905
2015-01-12,49.2788,47.429
2015-01-13,47.5403,48.1343
2015-01-14,47.0169,49.7256
2015-01-15,49.3818,48.1348
2015-01-16,48.4435,49.8612
2015-01-17,48.4435,49.8612
2015-01-18,48.4435,49.8612
2015-01-19,50.2114,49.1182
2015-01-20,48.6093,48.16
2015-01-21,48.3442,48.9365
2015-01-22,49.1315,48.9017
2015-01-23,49.4723,48.7145
2015-01-24,49.4723,48.7145
2015-01-25,49.4723,48.7145
2015-01-26,48.1708,48.1096
2015-01-27,48.0202,49.0892
2015-01-28,49.0659,48.4727
2015-01-29,48.6016,48.9964
2015-01-30,48.8959,50.7659
2015-01-31,48.8959,50.7659
2015-02-01,48.8959,50.7659
2015-02-02,51.7909,54.6276
2015-02-03,55.1756,57.5114
2015-02-04,57.9152,54.6457
2015-02-05,53.27,56.8357
2015-02-06,57.8313,58.0753
2015-02-07,57.8313,58.0753
2015-02-08,57.8313,58.0753
2015-02-09,58.0284,58.192
2015-02-10,57.6384,57.0518
2015-02-11,57.5116,56.4443
2015-02-12,56.6181,59.3459
2015-02-13,59.8642,61.2623
2015-02-14,59.8642,61.2623
2015-02-15,59.8642,61.2623
2015-02-16,61.5388,61.6039
2015-02-17,62.118,62.3106
2015-02-18,62.1534,60.0761
2015-02-19,59.5466,60.0211
2015-02-20,60.2298,60.1832
2015-02-21,60.2298,60.1832
2015-02-22,60.2298,60.1832
2015-02-23,60.2064,58.9427
2015-02-24,58.3851,59.2088
2015-02-25,58.8234,60.0309
2015-02-26,61.6395,60.4712
2015-02-27,60.9047,61.9494
2015-02-28,60.9047,61.9494
2015-03-01,60.9047,61.9494
2015-03-02,62.2603,60.1603
2015-03-03,60.639,61.0253
2015-03-04,60.6033,60.3583
2015-03-05,60.4582,60.6128
2015-03-06,60.6961,59.6607
2015-03-07,60.6961,59.6607
2015-03-08,60.6961,59.6607
2015-03-09,59.2638,58.6062
2015-03-10,58.3442,56.6336
2015-03-11,56.7715,57.5349
2015-03-12,58.2467,56.9653
2015-03-13,57.3118,54.7256
2015-03-14,57.3118,54.7256
2015-03-15,57.3118,54.7256
2015-03-16,54.8276,53.98
2015-03-17,54.0608,53.2841
2015-03-18,52.9835,56.3114
2015-03-19,55.333,54.3425
2015-03-20,54.4222,55.0938
2015-03-21,54.4222,55.0938
2015-03-22,54.4222,55.0938
2015-03-23,54.5325,55.8928
2015-03-24,55.4735,55.2894
2015-03-25,55.2938,56.4535
2015-03-26,57.9472,58.9538
2015-03-27,58.0437,56.1386
2015-03-28,58.0437,56.1386
2015-03-29,58.0437,56.1386
2015-03-30,56.0511,56.2623
2015-03-31,55.68,55.5898
2015-04-01,54.829,56.8227
2015-04-02,56.5715,55.2452
2015-04-03,56.5715,55.2452
2015-04-04,56.5715,55.2452
2015-04-05,56.5715,55.2452
2015-04-06,56.5715,55.2452
2015-04-07,57.4819,59.0536
2015-04-08,58.2887,56.3701
2015-04-09,57.2515,57.5733
2015-04-10,57.6986,59.1899
2015-04-11,57.6986,59.1899
2015-04-12,57.6986,59.1899
2015-04-13,59.0654,59.0976
2015-04-14,59.5261,59.8012
2015-04-15,60.1943,62.8441
2015-04-16,63.1066,63.7729
2015-04-17,63.5062,63.7828
2015-04-18,63.5062,63.7828
2015-04-19,63.5062,63.7828
2015-04-20,64.2465,63.2899
2015-04-21,63.2113,62.0832
2015-04-22,61.5882,62.8186
2015-04-23,62.8174,65.048
2015-04-24,64.5552,65.2322
2015-04-25,64.5552,65.2322
2015-04-26,64.5552,65.2322
2015-04-27,65.2573,64.7069
2015-04-28,64.5004,64.7214
2015-04-29,64.6279,65.3454
2015-04-30,65.4833,66.6511
2015-05-01,66.7358,66.4849
2015-05-02,66.7358,66.4849
2015-05-03,66.7358,66.4849
2015-05-04,66.2513,66.3678
