Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2025-10-01;75,8287;76,5218;74,5689;76,4521;;
2025-09-30;76,7874;76,7874;75,6352;75,7083;;
2025-09-29;75,641;76,9574;75,104;76,6347;;
2025-09-26;75,8787;76,1162;75,1378;75,8357;;
2025-09-25;76,2131;76,6123;75,4738;75,5626;;
2025-09-24;76,678;76,7368;75,8844;76,1411;;
2025-09-23;76,4105;77,2164;75,8932;76,7046;;
2025-09-22;77,4192;77,6638;75,9751;76,1643;;
2025-09-19;77,6128;77,735;77,0532;77,6605;;
2025-09-18;76,8348;78,2503;76,8218;77,3201;;
2025-09-17;77,8199;78,3583;76,5798;76,5798;;
2025-09-16;77,141;78,2345;76,5395;77,7416;;
2025-09-15;75,8036;77,1553;75,147;77,1553;;
2025-09-12;75,5973;76,0519;75,166;75,4307;;
2025-09-11;77,2533;77,2533;75,2865;75,3304;;
2025-09-10;76,9384;77,5014;76,3814;77,3618;;
2025-09-09;77,5007;77,5007;76,0326;76,8243;;
2025-09-08;76,2655;77,3141;75,5927;77,0297;;
2025-09-05;75,719;76,2838;75,4334;76,1044;;
2025-09-04;75,034;75,727;74,658;75,5977;;
2025-09-03;73,7821;75,2973;73,4527;75,2973;;
2025-09-02;74,3438;74,4451;73,405;73,5513;;
2025-09-01;73,1036;74,571;72,8272;74,2825;;
2025-08-29;71,7767;73,0442;71,6464;73,0201;;
2025-08-28;72,1728;72,2589;71,3713;71,9178;;
2025-08-27;72,7522;73,3052;72,0234;72,2566;;
2025-08-26;71,9439;72,9851;71,6276;72,7466;;
2025-08-25;72,6181;72,6181;71,8781;71,9749;;
2025-08-22;72,8254;72,8254;72,2994;72,5039;;
2025-08-21;71,4794;72,7453;71,0999;72,5514;;
2025-08-20;71,2374;71,5298;70,6859;71,4222;;
2025-08-19;71,7064;72,0845;71,0695;71,1987;;
2025-08-18;70,7269;71,9186;70,3552;71,6855;;
2025-08-15;71,1379;71,3027;70,3264;70,6224;;
2025-08-14;71,7787;71,808;70,5949;71,032;;
2025-08-13;71,5548;72,1407;71,303;71,6852;;
2025-08-12;72,283;72,3885;71,3318;71,4039;;
2025-08-11;73,0588;73,0949;72,0596;72,2876;;
2025-08-08;72,0054;73,3388;71,8717;72,9666;;
2025-08-07;70,7116;72,022;70,3857;71,7531;;
2025-08-06;71,4065;71,7426;70,6974;70,6974;;
2025-08-05;70,7376;71,6793;70,5313;71,3347;;
2025-08-04;71,2273;71,2902;70,2333;70,7211;;
2025-08-01;72,4649;72,4649;71,0349;71,1158;;
2025-07-31;72,8368;73,0807;72,2743;72,6743;;
2025-07-30;73,3617;73,3617;72,5797;72,9516;;
2025-07-29;70,8087;73,3036;70,5792;73,1698;;
2025-07-28;71,8719;72,2684;70,1216;70,7952;;
2025-07-25;71,1084;71,4988;70,7014;71,4538;;
2025-07-24;69,8449;71,1455;69,2619;71,0305;;
2025-07-23;69,4733;69,9944;69,0405;69,8221;;
2025-07-22;69,7568;69,7799;68,8964;69,1855;;
2025-07-21;70,3017;70,5601;69,6581;69,8181;;
2025-07-18;70,6795;71,032;69,8732;70,3802;;
2025-07-17;71,3464;71,3751;70,3415;70,4188;;
